,name,allegiance,season,episode,location,killer,killers_house,method,death_no
444,White Rat,House Targaryen,5,1,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,445
445,Mance Rayder,Free Folk,5,1,Castle Black,Jon Snow,Night's Watch,Arrow,446
446,Baelish soldier,House Baelish,5,2,Eastern Road,Brienne of Tarth,House Tarth,Sword,447
447,Baelish soldier,House Baelish,5,2,Eastern Road,Brienne of Tarth,House Tarth,Sword,448
448,Baelish soldier,House Baelish,5,2,Eastern Road,Brienne of Tarth,House Tarth,Sword,449
449,Unamed Dwarf,Smallfolk,5,2,King's Landing,Peasant,Smallfolk,Unknown,450
450,Pigeon,,5,2,Braavos,Arya Stark,House Stark,Sword,451
451,Sons of the Harpy agent,Sons of the Harpy,5,2,Meereen,Meereen slave,,Knife,452
452,Meereen slave,,5,2,Meereen,Daario Naharis,House Targaryen,Arakh,453
453,Great Master,Great Masters,5,2,Meereen,Meereen slave,,Hands,454
454,Peasant,,5,3,Winterfell,Ramsay Bolton,House Bolton,Flaying,455
455,Peasant,,5,3,Winterfell,Ramsay Bolton,House Bolton,Flaying,456
456,Peasant,,5,3,Winterfell,Ramsay Bolton,House Bolton,Flaying,457
457,Janos Slynt,Night's Watch,5,3,Castle Black,Jon Snow,Night's Watch,Sword,458
458,Rat,,5,3,King's Landing,Qyburn,House Lannister,Knife,459
459,Snake,,5,4,Dorne,Bronn,House Lannister,Knife,460
460,Dorne Soldier,House Martell,5,4,Dorne,Bronn,House Lannister,Knife,461
461,Dorne Soldier,House Martell,5,4,Dorne,Bronn,House Lannister,Sword,462
462,Dorne Horse,House Martell,5,4,Dorne,Bronn,House Lannister,Sword,463
463,Dorne Soldier,House Martell,5,4,Dorne,Jaime Lannister,House Lannister,Sword,464
464,Dorne Smuggler,,5,4,Dorne,Obara Sand,House Martell,Spear,465
465,Second Sun Mercenary,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,466
466,Second Sun Mercenary,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,467
467,Second Sun Mercenary,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,468
468,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,469
469,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Unsullied Soldier,House Targaryen,Spear,470
470,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Unsullied Soldier,House Targaryen,Spear,471
471,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,472
472,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,473
473,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Shield,474
474,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,475
475,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Sword,476
476,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,477
477,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,478
478,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,479
479,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,480
480,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,481
481,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Hands,482
482,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,483
483,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,484
484,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,485
485,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,486
486,Unsullied Soldier,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,487
487,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,488
488,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,489
489,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,490
490,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,491
491,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,492
492,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,493
493,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,494
494,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,495
495,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,496
496,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,497
497,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,498
498,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,499
499,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,500
500,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,501
501,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,502
502,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,503
503,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,504
504,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Barristan Selmy,House Targaryen,Sword,505
505,Sons of the Harpy agent,Sons of the Harpy,5,4,Meereen,Grey Worm,House Targaryen,Spear,506
506,Barristan Selmy,House Targaryen,5,4,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,507
507,Great Master,House Targaryen,5,5,Meereen,Viserion,House Targaryen,Dragonfire (Dragon),508
508,Stone Man,,5,5,Valyria,Jorah Mormont,House Targaryen,Sword,509
509,Peasant,,5,6,Braavos,Arya Stark,House Stark,Poison,510
510,Aemon Targaryen,Night's Watch,5,7,Castle Black,Aemon Targaryen,Night's Watch,Old Age,511
511,Peasant,,5,7,Winterfell,Ramsay Bolton,House Bolton,Flaying,512
512,Wildling Leader,Free Folk,5,8,Hardhome,Tormund,Free Folk,Mallet,513
513,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Axe,514
514,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,515
515,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,516
516,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Axe,517
517,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,518
518,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,519
519,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,520
520,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Falling,521
521,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Axe,522
522,Loboda,Free Folk,5,8,Hardhome,White Walker,White Walkers,Spear,523
523,Karsi,Free Folk,5,8,Hardhome,Wight,White Walkers,Teeth,524
524,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,525
525,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,526
526,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,527
527,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Axe,528
528,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Axe,529
529,Wildling,Free Folk,5,8,Hardhome,White Walker,White Walkers,Sword,530
530,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,531
531,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Axe,532
532,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,533
533,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,534
534,Wildling,Free Folk,5,8,Hardhome,Wight,White Walkers,Sword,535
535,Horse,House Baratheon of Dragonstone,5,9,Kingsroad,Ramsay Bolton,House Bolton,Fire,536
536,Peasant,,5,9,Braavos,Peasant,,Poison,537
537,Shireen Baratheon,House Baratheon of Dragonstone,5,9,Kingsroad,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Fire,538
538,Gladiator,,5,9,Meereen,Gladiator,,Sword,539
539,Gladiator,,5,9,Meereen,Gladiator,,Sword,540
540,Gladiator,,5,9,Meereen,Jorah Mormont,House Targaryen,Knife,541
541,Gladiator,,5,9,Meereen,Gladiator,,Spear,542
542,Gladiator,,5,9,Meereen,Gladiator,,Spear,543
543,Gladiator,,5,9,Meereen,Jorah Mormont,House Targaryen,Sword,544
544,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Spear,545
545,Great Master,Great Masters,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,546
546,Great Master,Great Masters,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,547
547,Great Master,Great Masters,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,548
548,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,549
549,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Unsullied Soldier,House Targaryen,Spear,550
