,name,allegiance,season,episode,location,killer,killers_house,method,death_no
1332,Greyjoy Soldier,House Greyjoy,8,1,The Narrow Sea,Theon Greyjoy,House Greyjoy,Arrow,1333
1333,Greyjoy Soldier,House Greyjoy,8,1,The Narrow Sea,Theon Greyjoy,House Greyjoy,Arrow,1334
1334,Greyjoy Soldier,House Greyjoy,8,1,The Narrow Sea,Theon Greyjoy,House Greyjoy,Arrow,1335
1335,Greyjoy Soldier,House Greyjoy,8,1,The Narrow Sea,Theon Greyjoy,House Greyjoy,Arrow,1336
1336,Greyjoy Soldier,House Greyjoy,8,1,The Narrow Sea,Theon Greyjoy,House Greyjoy,Arrow,1337
1337,Greyjoy Soldier,House Greyjoy,8,1,The Narrow Sea,Theon Greyjoy,House Greyjoy,Axe,1338
1338,Ned Umber,House Umber,8,2,Last Hearth,Night King,White Walkers,Steak,1339
1339,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1340
1340,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1341
1341,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Knife,1342
1342,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Sword,1343
1343,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Teeth,1344
1344,Eddison Tollett,Night's Watch,8,3,Winterfell,Wight,White Walkers,Sword,1345
1345,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1346
1346,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1347
1347,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1348
1348,Unsullied,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1349
1349,Night's Watch brother,Night's Watch,8,3,Winterfell,Wight,White Walkers,Teeth,1350
1350,Night's Watch brother,Night's Watch,8,3,Winterfell,Wight,White Walkers,Sword,1351
1351,Night's Watch brother,Night's Watch,8,3,Winterfell,Wight,White Walkers,Teeth,1352
1352,Night's Watch brother,Night's Watch,8,3,Winterfell,Wight,White Walkers,Sword,1353
1353,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Sword,1354
1354,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Sword,1355
1355,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Sword,1356
1356,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Sword,1357
1357,Stark Soldier,House Stark,8,3,Winterfell,Wight,White Walkers,Sword,1358
1358,Night's Watch brother,Night's Watch,8,3,Winterfell,Wight,White Walkers,Knife,1359
1359,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1360
1360,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1361
1361,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1362
1362,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1363
1363,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1364
1364,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1365
1365,Mormont Soldier,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Club,1366
1366,Lyanna Mormont,House Mormont,8,3,Winterfell,Giant Wight,White Walkers,Hands,1367
1367,Giant Wight,White Walkers,8,3,Winterfell,Lyanna Mormont,House Mormont,Knife,1368
1368,Beric Dondarrion,Brotherhood Without Banners,8,3,Winterfell,Wight,White Walkers,Knife,1369
1369,Peasant,Smallfolk,8,3,Winterfell,Wight,White Walkers,Teeth,1370
1370,Peasant,Smallfolk,8,3,Winterfell,Wight,White Walkers,Teeth,1371
1371,Jorah Mormont,House Targaryen,8,3,Winterfell,Wight,White Walkers,Sword,1372
1372,Night King,White Walkers,8,3,Winterfell,Arya Stark,House Stark,Knife,1373
1373,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,8,3,Winterfell,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Old Age,1374
1374,Rhaegal,House Targaryen,8,4,Dragonstone,Euron Greyjoy,House Greyjoy,Giant arrow,1375
1375,Unsullied,House Targaryen,8,4,Dragonstone,Greyjoy Soldier,House Greyjoy,Giant arrow,1376
1376,Unsullied,House Targaryen,8,4,Dragonstone,Greyjoy Soldier,House Greyjoy,Giant arrow,1377
1377,Unsullied,House Targaryen,8,4,Dragonstone,Greyjoy Soldier,House Greyjoy,Giant arrow,1378
1378,Missandei,House Targaryen,8,4,King's Landing,"Gregor ""the Mountain"" Clegane",House Lannister,Sword,1379
1379,Varys,House Targaryen,8,5,Dragonstone,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1380
1380,Greyjoy Soldier,House Greyjoy,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1381
1381,Greyjoy Soldier,House Greyjoy,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1382
1382,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1383
1383,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1384
1384,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1385
1385,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1386
1386,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1387
1387,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1388
1388,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1389
1389,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1390
1390,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1391
1391,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1392
1392,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1393
1393,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1394
1394,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1395
1395,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1396
1396,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1397
1397,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1398
1398,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1399
1399,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1400
1400,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1401
1401,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1402
1402,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1403
1403,Lannister soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1404
1404,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1405
1405,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1406
1406,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1407
1407,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1408
1408,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1409
1409,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1410
1410,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1411
1411,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1412
1412,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1413
1413,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1414
1414,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1415
1415,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1416
1416,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1417
1417,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1418
1418,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1419
1419,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1420
1420,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1421
1421,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1422
1422,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1423
1423,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1424
1424,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1425
1425,Golden Company soldier,House Lannister,8,5,King's Landing,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),1426
