,name,allegiance,season,episode,location,killer,killers_house,method,death_no
274,Baratheon of King's Landing soldier,House Baratheon of King's Landing,4,1,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,275
275,Lowell (King's Soldier),House Baratheon of King's Landing,4,1,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Knife,276
276,Baratheon of King's Landing soldier,House Baratheon of King's Landing,4,1,Riverlands,Arya Stark,House Stark,Sword,277
277,Baratheon of King's Landing soldier,House Baratheon of King's Landing,4,1,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,278
278,Polliver,House Baratheon of King's Landing,4,1,Riverlands,Arya Stark,House Stark,Sword,279
279,Tansy,Smallfolk,4,2,Dreadfort,Ramsay Bolton,House Bolton,Dogs,280
280,Axell Florent,House Baratheon of Dragonstone,4,2,Dragonstone,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Fire,281
281,Dragonstone citizen,House Baratheon of Dragonstone,4,2,Dragonstone,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Fire,282
282,Dragonstone citizen,House Baratheon of Dragonstone,4,2,Dragonstone,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Fire,283
283,Deer,,4,2,Beyond the Wall,Summer,House Stark,Teeth,284
284,Joffrey Baratheon,House Lannister,4,2,King's Landing,Olenna Tyrell,House Tyrell,Poison,285
285,Dontos Hollard,House Hollard,4,3,King's Landing,Baelish soldier,House Baelish,Arrow,286
286,Guymon,Smallfolk,4,3,The Gift,Ygritte,Free Folk,Arrow,287
287,Olly's mum,Smallfolk,4,3,The Gift,Styr,Free Folk,Axe,288
288,Peasant,Smallfolk,4,3,The Gift,Thenn raider,Free Folk,Unknown,289
289,Peasant,Smallfolk,4,3,The Gift,Tormund,Free Folk,Sword,290
290,Peasant,Smallfolk,4,3,The Gift,Tormund,Free Folk,Sword,291
291,Peasant,Smallfolk,4,3,The Gift,Tormund,Free Folk,Sword,292
292,Peasant,Smallfolk,4,3,The Gift,Tormund,Free Folk,Sword,293
293,Peasant,Smallfolk,4,3,The Gift,Ygritte,Free Folk,Sword,294
294,Champion of Meereen's Horse,,4,3,Meereen,Daario Naharis,House Targaryen,Knife,295
295,Champion of Meereen,Great Masters,4,3,Meereen,Daario Naharis,House Targaryen,Arakh,296
296,Meereen slave master,Great Masters,4,4,Meereen,Meereen slaves,,Unknown,297
297,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Eddison Tollett,Night's Watch,Sword,298
298,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Locke,House Bolton,Sword,299
299,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Locke,House Bolton,Sword,300
300,Night's Watch brother,Night's Watch,4,5,Beyond the Wall,Night's Watch mutineer,Night's Watch,Axe,301
301,Night's Watch brother,Night's Watch,4,5,Beyond the Wall,Night's Watch mutineer,Night's Watch,Sword,302
302,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Jon Snow,House Stark,Sword,303
303,Night's Watch brother,Night's Watch,4,5,Beyond the Wall,Night's Watch mutineer,Night's Watch,Sword,304
304,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Jon Snow,House Stark,Sword,305
305,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Eddison Tollett,Night's Watch,Sword,306
306,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Jon Snow,House Stark,Sword,307
307,Locke,House Bolton,4,5,Beyond the Wall,Hodor/Bran Stark,House Stark,Hands,308
308,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Jon Snow,House Stark,Sword,309
309,Night's Watch brother,Night's Watch,4,5,Beyond the Wall,Karl Tanner,Night's Watch,Knife,310
310,Karl Tanner,Night's Watch,4,5,Beyond the Wall,Jon Snow,House Stark,Sword,311
311,Night's Watch mutineer,Night's Watch,4,5,Beyond the Wall,Grenn,Night's Watch,Sword,312
312,Rast,Night's Watch,4,5,Beyond the Wall,Ghost,House Stark,Teeth,313
