,name,allegiance,season,episode,location,killer,killers_house,method,death_no
188,Manticore,,3,1,Astapor,Barristan Selmy,House Targaryen,Knife,189
189,Hoster Tully,House Tully,3,2,Riverrun,,,Illness,190
190,Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,191
191,Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,192
192,Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,193
193,Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,194
194,Bannen,Night's Watch,3,4,Beyond the Wall,,,Broken foot,195
195,Craster,Night's Watch,3,4,Beyond the Wall,Karl Tanner,Night's Watch,Knife,196
196,Jeor Mormont,Night's Watch,3,4,Beyond the Wall,Rast,Night's Watch,Knife,197
197,Beric Dondarrion,Brotherhood Without Banners,3,4,Hollow Hill,"Sandor ""the Hound"" Clegane",House Clegane,Sword,198
198,Astapor slaver,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,199
199,Astapor slaver,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,200
200,Kraznys mo Nakloz,Good Masters,3,4,Astapor,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),201
201,Astapor soldier,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,202
202,Astapor soldier,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,203
203,Astapor soldier,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,204
204,Astapor slaver,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,205
205,Stark soldier,House Stark,3,5,Riverrun,Karstark soldier,House Karstark,Sword,206
206,Willem Lannister,House Lannister,3,5,Riverrun,Karstark soldier,House Karstark,Unknown,207
207,Martyn Lannister,House Lannister,3,5,Riverrun,Rickard Karstark,House Stark,Knife,208
208,Rickard Karstark,House Stark,3,5,Riverrun,Robb Stark,House Stark,Sword,209
209,Wildling,Free Folk,3,6,The Wall,,,Falling,210
210,Wildling,Free Folk,3,6,The Wall,,,Falling,211
211,Wildling,Free Folk,3,6,The Wall,,,Falling,212
212,Wildling,Free Folk,3,6,The Wall,,,Falling,213
213,Wildling,Free Folk,3,6,The Wall,,,Falling,214
214,Wildling,Free Folk,3,6,The Wall,,,Falling,215
215,Ros,House Baelish,3,6,King's Landing,Joffrey Baratheon,House Lannister,Arrow,216
216,Leech,,3,8,Dragonstone,Stannis Baratheon,House Baratheon of Dragonstone,Fire,217
217,Leech,,3,8,Dragonstone,Stannis Baratheon,House Baratheon of Dragonstone,Fire,218
218,Leech,,3,8,Dragonstone,Stannis Baratheon,House Baratheon of Dragonstone,Fire,219
219,Mero,Second Sons,3,8,Yunkai,Daario Naharis,House Targaryen,Unknown,220
220,Prendahl na Ghezn,Second Sons,3,8,Yunkai,Daario Naharis,House Targaryen,Unknown,221
221,White Walker,,3,8,Beyond the Wall,Sam Tarly,Night's Watch,Dragonglass,222
222,Horse breeder,Night's Watch,3,9,The Gift,Ygritte,Free Folk,Arrow,223
223,Wildling,Free Folk,3,9,The Gift,Jon Snow,House Stark,Sword,224
224,Wildling,Free Folk,3,9,The Gift,Summer,House Stark,Teeth,225
225,Wildling,Free Folk,3,9,The Gift,Shaggydog,House Stark,Teeth,226
226,Orell,Free Folk,3,9,The Gift,Jon Snow,House Stark,Sword,227
227,Yunkai soldier,Wise Masters,3,9,Yunkai,Jorah Mormont,House Targaryen,Sword,228
228,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,229
229,Yunkai soldier,Wise Masters,3,9,Yunkai,Grey Worm,House Targaryen,Spear,230
230,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,231
231,Yunkai soldier,Wise Masters,3,9,Yunkai,Jorah Mormont,House Targaryen,Sword,232
232,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,233
233,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,234
234,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,235
235,Yunkai soldier,Wise Masters,3,9,Yunkai,Grey Worm,House Targaryen,Spear,236
236,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Knife,237
237,Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,238
238,Unborn Stark child,House Stark,3,9,The Twins,Lothar Frey,House Frey,Knife,239
239,Talisa Stark,House Stark,3,9,The Twins,Lothar Frey,House Frey,Knife,240
240,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,241
241,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,242
242,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,243
243,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,244
244,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,245
245,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,246
246,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,247
247,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,248
248,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,249
249,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,250
250,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,251
251,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,252
252,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,253
253,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,254
254,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,255
255,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,256
256,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,257
257,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,258
258,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,259
259,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,260
260,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Sword,261
261,Grey Wind,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,262
262,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,263
263,Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,264
264,Robb Stark,House Stark,3,9,The Twins,Roose Bolton,House Bolton,Knife,265
265,Joyeuse Frey,House Frey,3,9,The Twins,Catelyn Stark,House Stark,Knife,266
266,Catelyn Stark,House Stark,3,9,The Twins,Walder Rivers,House Frey,Knife,267
267,Stark soldier,House Stark,3,10,The Twins,Frey soldier,House Frey,Sword,268
268,Stark soldier,House Stark,3,10,The Twins,Frey soldier,House Frey,Hanging,269
269,Stark soldier,House Stark,3,10,The Twins,Frey soldier,House Frey,Sword,270
270,Frey soldier,House Frey,3,10,Riverlands,Arya Stark,House Stark,Knife,271
271,Frey soldier,House Frey,3,10,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,272
272,Frey soldier,House Frey,3,10,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,273
